step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.558148164926097,0,0.0,0.9790817225435648,0,0.0,0.9804240127311923,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9726550161069492,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9781304305333088,0,0.0,0.9792626934426498,0,0.0,0.9788174574460154,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9769675530589133,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,12.906388249805223,0,0.0,0.8888963440296679,0,0.0,0.9534660263470351,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9318178465987005,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9457397778655777,0,0.0,0.9489384157840652,0,0.0,0.9515250380430758,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9493039535137835,0,0.0,1.0,0,0.0
15.0,40,0,1,0,40,0,1.0,0.025,12.118888760896159,0,0.0,0.8023609473956398,0,0.0,0.741830704440654,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9466429738446589,0,0.0,0.987486875230208,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7479031561472068,0,0.0,0.9620130472629043,0,0.0,0.9770499823983018,0,0.0,0.950706364517388,0,0.0,1.0,0,0.0,0.9236102287540067,0,0.0,0.9784602333480134,0,0.0,0.9892817078893106,1,1.0
20.0,56,0,6,0,56,0,20.0,0.35714285714285715,11.322961406048327,3,9.0,0.7041287646580714,1,3.0,0.7146317666433769,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9473578004357239,0,0.0,0.9431663428123097,0,0.0,1.0,0,0.0,1.0,2,8.0,0.5132741814933244,0,0.0,0.951332599108417,0,0.0,0.9665268388062364,0,0.0,0.9765827961256354,0,0.0,1.0,0,0.0,0.9421135559303617,0,0.0,0.9826391229167538,0,0.0,0.9771760089582494,6,20.0
25.0,72,0,0,0,72,0,0.0,0.0,10.288454174641524,0,5.0,0.6437236212003871,0,1.0,0.6757823688538726,0,0.0,1.0,0,0.0,0.8663774936397635,0,0.0,0.946589079823643,0,0.0,0.9459753544165348,0,0.0,1.0,0,0.0,1.0,0,3.0,0.6620717189671979,0,0.0,0.9793789977083242,0,0.0,0.9564696827395196,0,2.0,0.6374195335296795,0,4.0,0.4789277050722808,0,0.0,0.95501737430891,0,0.0,0.8075089369111803,0,0.0,0.7431624055853836,0,15.0
30.0,80,0,9,0,80,0,28.0,0.35,10.379441531102437,2,4.0,0.6594867005551875,2,7.0,0.5204637152744375,0,0.0,1.0,0,0.0,0.9681004565087216,0,0.0,0.9458037986461232,0,0.0,0.9559851616620556,0,0.0,0.8912234700717745,0,0.0,1.0,0,0.0,0.9553699610626192,0,0.0,0.9579477469934319,0,4.0,0.8452734431956951,2,11.0,0.6858880610807955,0,4.0,0.9251886981153703,0,0.0,0.9778217333764614,1,4.0,0.549736755336079,2,6.0,0.26720195577957495,9,40.0
35.0,96,0,4,0,96,0,8.0,0.08333333333333333,9.341726766850561,1,5.0,0.6350638158185261,0,7.0,0.53360054829247,0,2.0,0.45761043146719227,0,0.0,0.9493757581899613,0,0.0,0.9453615604683747,1,2.0,0.6180890981635799,0,0.0,0.928543306249342,0,0.0,0.985437410110109,1,4.0,0.6156314649787016,0,0.0,0.7157200001547809,0,4.0,0.8632009875151264,0,7.0,0.7048969984062556,0,6.0,0.8301450190659562,1,2.0,0.6300302661700633,0,0.0,0.5993500138491487,0,9.0,0.31758359581219076,4,48.0
40.0,112,0,17,0,112,0,73.0,0.6517857142857143,8.954268631094768,3,14.0,0.6233675680377123,2,12.0,0.7023219977550395,0,4.0,0.8497727009023913,0,0.0,0.4595662168842549,0,0.0,0.9785845767925343,3,16.0,0.38904482643699656,0,0.0,0.923896774544008,0,0.0,0.9503878504406721,2,15.0,0.6356601778409349,2,5.0,0.592336168004606,2,5.0,0.5886965597569114,1,7.0,0.23799335668252233,0,4.0,0.8274286140988297,1,7.0,0.2504944155951376,0,0.0,0.9208264894199744,1,8.0,0.7161569761979691,17,97.0
45.0,120,0,16,0,120,0,62.0,0.5166666666666667,8.319165051841928,1,14.0,0.6141093107301215,0,8.0,0.6978821725685105,0,2.0,0.9087698850808552,3,11.0,0.09783881399655997,0,0.0,0.9515690868762939,1,16.0,0.41651691632619914,0,4.0,0.43145256253348857,0,0.0,0.9025656401413122,0,8.0,0.6331990894397633,0,2.0,0.6307583524344927,4,25.0,0.3798115180771035,6,34.0,0.10504584971067002,0,6.0,0.7883895146971651,0,4.0,0.37830296909090305,1,2.0,0.7429980190885689,0,4.0,0.872208595296299,16,140.0
50.0,136,0,14,0,136,0,42.0,0.3088235294117647,8.556651732636311,3,12.0,0.6595243777566019,2,8.0,0.4464939247132828,1,4.0,0.5080507799659761,0,8.0,0.747808601530423,0,0.0,0.9520619095409216,0,4.0,0.7727531002912362,0,4.0,0.8267339442044154,0,4.0,0.623152514989009,2,10.0,0.48436706346184805,0,0.0,0.9382073934583244,0,20.0,0.6249895868566594,0,33.0,0.5572498409989699,1,9.0,0.5341767915228283,0,4.0,0.9093981730819612,3,13.0,0.599921735040698,2,8.0,0.2378248252238096,14,141.0
55.0,151,0,11,1,152,0,60.0,0.3973509933774834,9.581081843615207,0,5.0,0.6661147893444054,0,12.0,0.42911446918213136,1,11.0,0.2879172437257266,0,8.0,0.7283223149036017,0,0.0,0.9230989600392286,0,2.0,0.9301564171198482,0,4.0,0.8774450708574303,0,4.0,0.926713113653855,4,32.0,0.4901714418029484,0,0.0,0.9614107081939345,0,4.0,0.8828062819724932,0,8.0,0.8620991845566759,1,11.0,0.637286622940144,0,6.0,0.8073790923552112,5,32.0,0.37752121319906634,0,12.0,0.5902518177588468,11,151.0
60.0,159,0,15,1,160,0,46.0,0.2893081761006289,9.101950590398586,3,9.0,0.6120761612679451,3,16.0,0.6232117549950567,4,22.0,0.48438248427549435,0,4.0,0.8490669201492247,0,0.0,0.8594518485600708,0,0.0,0.5964446115901512,0,0.0,0.8271672372970853,0,4.0,0.9305949336594648,1,22.0,0.659822214719092,0,4.0,0.7221345684290115,0,0.0,0.6811378490700021,1,7.0,0.5799164658113259,1,6.0,0.39757891292853986,2,8.0,0.6111574253095772,0,23.0,0.4922454117573767,0,8.0,0.7988452613051611,15,133.0
65.0,175,0,26,1,176,0,124.0,0.7085714285714285,8.774428013433367,0,4.0,0.6661172607046778,0,13.0,0.6975980328540644,4,46.0,0.520960809509546,1,8.0,0.7799985026766705,1,4.0,0.6556618618123252,2,9.0,0.31336384507623294,1,1.0,0.3615178121095739,0,0.0,0.8602797049383232,2,15.0,0.7123197482014425,0,4.0,0.9294867174351238,3,11.0,0.5254621098321756,5,24.0,0.3638837744471077,1,9.0,0.45117256177880866,6,30.0,0.535891968468881,0,0.0,0.8589018420508773,0,4.0,0.673458369703556,26,182.0
70.0,189,0,29,3,192,0,166.0,0.8783068783068783,8.607735024687472,2,4.0,0.7283819304924807,2,6.0,0.5228848584703615,4,62.0,0.5858454990476046,1,3.0,0.5918254832068232,1,2.0,0.6101761812150858,0,6.0,0.6755993232104053,5,24.0,0.12403729963951514,0,2.0,0.6405695659008677,1,6.0,0.430727007613114,0,4.0,0.8830164113542909,4,29.0,0.6019283948637103,5,51.0,0.4197343086657586,0,6.0,0.708882867050429,4,37.0,0.2406327180126444,0,0.0,0.8194780896753526,0,4.0,0.8990951550903764,29,246.0
75.0,192,0,27,8,200,0,93.0,0.484375,8.257629505559771,1,2.0,0.6071565207035557,1,14.0,0.3759063501216495,2,41.0,0.6499172302608758,2,15.0,0.7454903072530947,1,6.0,0.8309622358021034,0,2.0,0.8176158136649107,0,30.0,0.5552828091291716,3,13.0,0.29431794587884497,5,24.0,0.40419224274700505,2,6.0,0.6066190179395354,1,23.0,0.6432816303537535,0,42.0,0.5940174444301557,0,4.0,0.803650996997142,5,30.0,0.20775843547700815,2,7.0,0.5415287423039813,2,11.0,0.2168578817472623,27,270.0
80.0,198,0,21,18,216,0,87.0,0.4393939393939394,8.471102619989457,2,9.0,0.6416058722581192,3,20.0,0.6030864476474211,2,18.0,0.5034896828992845,0,4.0,0.8227329969424549,1,2.0,0.8078080847328889,0,2.0,0.5891467716074025,0,8.0,0.9190522111598429,0,10.0,0.697506537127524,2,27.0,0.6201439614468107,1,7.0,0.5372766277020888,1,6.0,0.5180725812273559,0,6.0,0.720762811842795,1,9.0,0.796591477074844,2,33.0,0.3936451411208849,5,26.0,0.32735768156450323,1,16.0,0.46960562940077155,21,203.0
