step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.91258580709109,0,0.0,0.8636434955909631,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.654015544385391,0,0.0,0.9783938176638131,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.663233067190948,0,0.0,0.9797455716987646,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.36927907598995,0,0.0,0.9295809014080222,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.33442036813878,0,0.0,0.9379991876180206,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.665393392353886,0,0.0,0.9497989769721075,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.927351412261892,0,0.0,0.9662710099988079,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.00958523961546,0,0.0,0.9723012145129268,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.535447496892775,0,0.0,0.9384843016390118,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.550491713283748,0,0.0,0.9382639888068345,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.876190998147708,0,0.0,0.9646798041658413,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,14.11030246805421,0,0.0,0.9830872338454071,0,0.0
75.0,14,0,1,0,14,0,2.0,0.14285714285714285,12.99867519206431,1,2.0,0.8957287644766545,1,2.0
80.0,14,0,2,0,14,0,8.0,0.5714285714285714,12.030577138541323,2,8.0,0.8286713602882797,2,8.0
85.0,16,0,2,0,16,0,18.0,1.125,11.852808538605085,2,18.0,0.8366111626947034,2,18.0
90.0,16,0,3,0,16,0,30.0,1.875,11.066569805696162,3,30.0,0.7845179618003041,3,30.0
95.0,20,0,3,0,20,0,45.0,2.25,10.950140393666803,3,45.0,0.7622867234924648,3,45.0
100.0,24,0,3,0,24,0,60.0,2.5,11.604145997791889,3,60.0,0.8094866242010784,3,60.0
