step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.129276325243335,0,0.0,0.9224428970855489,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.059120611315128,0,0.0,0.9893528162260574,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,12.930579560487066,0,0.0,0.9806132231019782,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.764911221242201,0,0.0,0.9491792326975367,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.71803383857601,0,0.0,0.9132098873797229,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.561065288373328,0,0.0,0.9527197635126037,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.77362977700841,0,0.0,0.9671882669138846,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.011599062990237,0,0.0,0.9841813821673324,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.36834068172157,0,0.0,0.9283238368151358,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.611886879787175,0,0.0,0.9374917418497777,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,14.0243364088751,0,0.0,0.9763106351728766,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,14.144195955042193,0,0.0,0.9829518758333226,0,0.0
75.0,14,0,1,0,14,0,1.0,0.07142857142857142,12.999376405568595,1,1.0,0.8932943999463253,1,1.0
80.0,14,0,1,0,14,0,6.0,0.42857142857142855,13.141552553161942,1,6.0,0.9035225952315484,1,6.0
85.0,16,0,2,0,16,0,12.0,0.75,12.047509902077753,2,12.0,0.81942172159624,2,12.0
90.0,16,0,3,0,16,0,23.0,1.4375,11.430737115614475,3,23.0,0.7759417346315318,3,23.0
95.0,19,1,3,0,19,0,38.0,2.0,11.388839162244281,3,38.0,0.7881237664576571,3,38.0
100.0,24,0,3,0,24,0,53.0,2.2083333333333335,11.56382329920298,3,53.0,0.8158891021519036,3,53.0
